Configuration,NA_ratio,Volume,Volume_a,Entropy
Widefield,1,340,340,938
Conventional,0.2,619,567,963
Conventional,0.22,629,567,966
Conventional,0.24,634,567,970
Conventional,0.26,636,567,973
Conventional,0.28,639,567,976
Conventional,0.3,643,567,980
Conventional,0.32,645,567,983
Conventional,0.34,646,567,986
Conventional,0.36,648,567,989
Conventional,0.38,647,567,991
Conventional,0.4,645,567,994
Conventional,0.42,642,567,997
Conventional,0.44,642,567,999
Conventional,0.46,641,567,1002
Conventional,0.48,638,567,1005
Conventional,0.5,635,567,1007
Conventional,0.52,633,567,1010
Conventional,0.54,631,567,1013
Conventional,0.56,628,567,1015
Conventional,0.58,625,567,1018
Conventional,0.6,622,567,1020
Conventional,0.62,618,567,1023
Conventional,0.64,614,567,1025
Conventional,0.66,610,567,1028
Conventional,0.68,607,567,1031
Conventional,0.7,603,567,1033
Conventional,0.72,599,567,1036
Conventional,0.74,595,567,1039
Conventional,0.76,592,567,1041
Conventional,0.78,588,567,1044
Conventional,0.8,584,567,1047
Conventional,0.82,581,567,1050
Conventional,0.84,578,567,1053
Conventional,0.86,575,567,1057
Conventional,0.88,572,567,1060
Conventional,0.9,570,567,1063
Conventional,0.92,569,567,1067
Conventional,0.94,567,567,1071
Conventional,0.96,567,567,1075
Conventional,0.98,567,567,1079
Conventional,1,567,567,1084
SquareL,0.2,428,454,951
SquareL,0.22,433,454,953
SquareL,0.24,435,454,955
SquareL,0.26,435,454,956
SquareL,0.28,437,454,958
SquareL,0.3,440,454,960
SquareL,0.32,441,454,962
SquareL,0.34,443,454,963
SquareL,0.36,445,454,965
SquareL,0.38,445,454,967
SquareL,0.4,444,454,968
SquareL,0.42,444,454,970
SquareL,0.44,445,454,972
SquareL,0.46,447,454,974
SquareL,0.48,447,454,975
SquareL,0.5,447,454,977
SquareL,0.52,447,454,979
SquareL,0.54,448,454,981
SquareL,0.56,448,454,982
SquareL,0.58,449,454,984
SquareL,0.6,450,454,986
SquareL,0.62,450,454,988
SquareL,0.64,450,454,990
SquareL,0.66,450,454,992
SquareL,0.68,451,454,994
SquareL,0.7,451,454,996
SquareL,0.72,451,454,998
SquareL,0.74,451,454,1001
SquareL,0.76,452,454,1003
SquareL,0.78,452,454,1005
SquareL,0.8,452,454,1008
SquareL,0.82,452,454,1010
SquareL,0.84,453,454,1013
SquareL,0.86,453,454,1015
SquareL,0.88,453,454,1018
SquareL,0.9,453,454,1021
SquareL,0.92,453,454,1024
SquareL,0.94,453,454,1027
SquareL,0.96,453,454,1030
SquareL,0.98,454,454,1033
SquareL,1,454,454,1036
SquareC,0.2,481,530,953
SquareC,0.22,489,529,955
SquareC,0.24,493,528,956
SquareC,0.26,493,527,958
SquareC,0.28,494,525,960
SquareC,0.3,497,524,962
SquareC,0.32,500,522,964
SquareC,0.34,502,521,966
SquareC,0.36,503,519,968
SquareC,0.38,502,518,970
SquareC,0.4,499,516,971
SquareC,0.42,497,514,973
SquareC,0.44,497,512,975
SquareC,0.46,497,510,976
SquareC,0.48,496,508,978
SquareC,0.5,494,506,980
SquareC,0.52,493,504,981
SquareC,0.54,492,502,983
SquareC,0.56,491,499,985
SquareC,0.58,489,497,986
SquareC,0.6,488,495,988
SquareC,0.62,486,492,990
SquareC,0.64,484,490,991
SquareC,0.66,482,487,993
SquareC,0.68,480,485,995
SquareC,0.7,478,482,996
SquareC,0.72,475,479,998
SquareC,0.74,473,477,1000
SquareC,0.76,471,474,1001
SquareC,0.78,468,471,1003
SquareC,0.8,466,468,1005
SquareC,0.82,463,465,1006
SquareC,0.84,460,462,1008
SquareC,0.86,458,459,1010
SquareC,0.88,455,456,1011
SquareC,0.9,452,453,1013
SquareC,0.92,449,450,1015
SquareC,0.94,446,446,1016
SquareC,0.96,442,442,1017
SquareC,0.98,438,438,1018
SquareC,1,434,434,1019
Hexagonal,0.2,463,500,956
Hexagonal,0.22,469,500,958
Hexagonal,0.24,473,500,960
Hexagonal,0.26,475,500,962
Hexagonal,0.28,477,500,964
Hexagonal,0.3,479,500,966
Hexagonal,0.32,481,500,968
Hexagonal,0.34,483,500,971
Hexagonal,0.36,485,500,973
Hexagonal,0.38,485,500,975
Hexagonal,0.4,486,500,977
Hexagonal,0.42,487,500,979
Hexagonal,0.44,488,500,981
Hexagonal,0.46,489,500,983
Hexagonal,0.48,489,500,985
Hexagonal,0.5,489,500,988
Hexagonal,0.52,490,500,990
Hexagonal,0.54,491,500,992
Hexagonal,0.56,492,500,994
Hexagonal,0.58,493,500,997
Hexagonal,0.6,493,500,999
Hexagonal,0.62,494,500,1001
Hexagonal,0.64,494,500,1003
Hexagonal,0.66,494,500,1006
Hexagonal,0.68,495,500,1008
Hexagonal,0.7,495,500,1011
Hexagonal,0.72,495,500,1013
Hexagonal,0.74,496,500,1015
Hexagonal,0.76,496,500,1018
Hexagonal,0.78,496,500,1021
Hexagonal,0.8,497,500,1023
Hexagonal,0.82,497,500,1026
Hexagonal,0.84,497,500,1029
Hexagonal,0.86,497,500,1032
Hexagonal,0.88,498,500,1035
Hexagonal,0.9,498,500,1038
Hexagonal,0.92,498,500,1041
Hexagonal,0.94,498,500,1045
Hexagonal,0.96,499,500,1048
Hexagonal,0.98,499,500,1052
Hexagonal,1,499,500,1055
