m1,m2,Volume,Entropy
0.5,0.5,283.22362516864973,922.3585051588528
0.5,1.0,283.71631467233414,920.0612146909216
0.5,1.5,280.0749558253189,915.7766374146167
0.5,2.0,275.76368278075824,911.4583055753671
0.5,2.5,271.4295150548138,907.3841638023918
0.5,3.0,267.24395849791017,903.5896425556466
0.5,3.5,263.253759690481,900.0591681890498
0.5,4.0,259.4651966191055,896.7668653182582
0.5,4.5,255.87024685774168,893.6869421596675
0.5,5.0,252.45603841342668,890.7963134062735
0.5,5.5,249.20856757802196,888.0749914368821
0.5,6.0,246.1142051022933,885.5058295099752
0.5,6.5,243.1602800745583,883.0741217016575
0.5,7.0,240.33526147117817,880.7672106477277
0.5,7.5,237.62876225257835,878.5741409132445
0.5,8.0,235.03146804072895,876.4853837984061
0.5,8.5,232.535037957388,874.4925976353854
0.5,9.0,230.13199989518023,872.5884414648963
0.5,9.5,227.81565034184217,870.7664226625118
0.5,10.0,225.579962936928,869.0207677815604
0.5,10.5,223.4195070332848,867.3463208791705
0.5,11.0,221.32937614634028,865.7384586883037
0.5,11.5,219.30512555387392,864.1930172483333
0.5,12.0,217.34271807794036,862.7062343697673
0.5,12.5,215.4384770431136,861.2746965649719
0.5,13.0,213.5890454592113,859.8952990350884
0.5,13.5,211.79135056904607,858.5652061078782
0.5,14.0,210.0425730053169,857.2818255199254
0.5,14.5,208.3401199020507,856.0427758214365
0.5,15.0,206.68160139893791,854.8458660047718
0.5,15.5,205.06481005921705,853.689076188872
0.5,16.0,203.48770279317532,852.5705381875003
0.5,16.5,201.94838494051103,851.4885216880651
0.5,17.0,200.44509621681783,850.4414196736453
0.5,17.5,198.97619827345693,849.4277386089276
0.5,18.0,197.5401636572444,848.4460869783426
0.5,18.5,196.13556598771,847.4951634331503
0.5,19.0,194.7610711961124,846.5737535473702
0.5,19.5,193.4154296926877,845.6807192526365
0.5,20.0,192.0974693474625,844.8149908962629
1.0,0.5,291.1722312046054,936.8481344263868
1.0,1.0,296.62020043603286,937.3079438427848
1.0,1.5,294.2247844889843,933.5307088842972
1.0,2.0,289.82987129128,929.1284020747672
1.0,2.5,284.9447699684266,924.7774180522804
1.0,3.0,280.050907319143,920.6423303486088
1.0,3.5,275.31804213538544,916.7559720531476
1.0,4.0,270.80407537129764,913.1118854754473
1.0,4.5,266.5224651990181,909.6921231690436
1.0,5.0,262.4681900391095,906.4765160789588
1.0,5.5,258.62869761065207,903.4458177075592
1.0,6.0,254.98879805135016,900.582659895532
1.0,6.5,251.53291089369333,897.8716969591435
1.0,7.0,248.24608655490147,895.2994724124102
1.0,7.5,245.11443776916445,892.8541909835106
1.0,8.0,242.1252813316819,890.5254935371643
1.0,8.5,239.26713817668545,888.3042466905686
1.0,9.0,236.52966686295423,886.1823646139878
1.0,9.5,233.90356913371045,884.1526585903761
1.0,10.0,231.38048746007087,882.2087097597032
1.0,10.5,228.95290459202917,880.3447627198395
1.0,11.0,226.6140498637968,878.5556377569874
1.0,11.5,224.3578141781859,876.8366549346015
1.0,12.0,222.17867410481227,875.1835731688936
1.0,12.5,220.07162476813048,873.5925364504659
1.0,13.0,218.0321208449681,872.0600282879745
1.0,13.5,216.0560248547931,870.5828332129279
1.0,14.0,214.1395619070323,869.1580026679152
1.0,14.5,212.27928011073948,867.7828259786654
1.0,15.0,210.47201592045008,866.4548069176413
1.0,15.5,208.7148637702981,865.171640396645
1.0,16.0,207.00514942679803,863.931194682305
1.0,16.5,205.34040656426987,862.731490344624
1.0,17.0,203.71835613353116,861.5706926136107
1.0,17.5,202.13688815353663,860.4470921379152
1.0,18.0,200.59404560722697,859.3590959542531
1.0,18.5,199.08801016750883,858.305217684065
1.0,19.0,197.61708951770424,857.2840661310863
