m1,m2,Volume,Entropy
0.5,0.5,252.05913748489382,891.7572027386935
0.5,1.0,251.29724409541882,888.9357019053805
0.5,1.5,248.82472119356538,884.656700419439
0.5,2.0,246.03734896726775,880.4117958355588
0.5,2.5,243.24039954975024,876.4053795608904
0.5,3.0,240.51776388537792,872.6506355047768
0.5,3.5,237.89320600587456,869.1252870271278
0.5,4.0,235.3709317512985,865.8026131731866
0.5,4.5,232.94819046790758,862.6582805719659
0.5,5.0,230.61977600551006,859.6715187276864
0.5,5.5,228.37978172602953,856.8248852955488
0.5,6.0,226.2223144332738,854.1037399388839
0.5,6.5,224.141781351542,851.4957242616255
0.5,7.0,222.1329928576409,848.9903321767663
0.5,7.5,220.19118378428357,846.5785611678799
0.5,8.0,218.31199910627024,844.2526336727715
0.5,8.5,216.49146510994376,842.0057851912586
0.5,9.0,214.72595591204595,839.8320874339681
0.5,9.5,213.01215990337045,837.7263107699393
0.5,10.0,211.34704814228715,835.6838190810931
0.5,10.5,209.72784548123167,833.7004745139037
0.5,11.0,208.15200460833782,831.7725709745051
0.5,11.5,206.6171829050623,829.8967691837014
0.5,12.0,205.12122189976031,828.0700479604469
0.5,12.5,203.66212905645622,826.2896640570491
0.5,13.0,202.23806163637477,824.5531191580294
0.5,13.5,200.84731238609436,822.8581276292153
0.5,14.0,199.4882968295933,821.2025933525659
0.5,14.5,198.15954196658055,819.5845857427669
0.5,15.0,196.85967620371463,818.0023281803449
0.5,15.5,195.5874203674715,816.45417304846
0.5,16.0,194.34157966714787,814.9385957950446
0.5,16.5,193.12103649377153,813.4541798922972
0.5,17.0,191.92474395569818,811.9996050215263
0.5,17.5,190.75172006464493,810.5736406344656
0.5,18.0,189.60104249708664,809.1751379383876
0.5,18.5,188.4718438655747,807.8030177492533
0.5,19.0,187.36330744283012,806.4562713082659
0.5,19.5,186.27466328861902,805.133950799033
0.5,20.0,185.2051847355919,803.8351630876706
1.0,0.5,264.48705392771495,909.6386858257675
1.0,1.0,265.6041195998241,909.9989094709308
1.0,1.5,264.0963802654084,907.2020607037368
1.0,2.0,261.55470957229903,903.5424157865353
1.0,2.5,258.61988682262165,899.6916158893059
1.0,3.0,255.56323381170392,895.877329409316
1.0,3.5,252.50677106104192,892.1810225077925
1.0,4.0,249.50731462027207,888.6292970777084
1.0,4.5,246.59112854303177,885.2265998446294
1.0,5.0,243.7693612065382,881.9682524847066
1.0,5.5,241.04539974150103,878.8460157398948
1.0,6.0,238.41857145650187,875.8505683645302
1.0,6.5,235.88608918954193,872.9726183259461
1.0,7.0,233.44410782389727,870.2033813551783
