Configuration,NA_ratio,Volume,Volume_a,Entropy
Widefield,1,340,340,951
SquareL,0.2,376,453,957
SquareL,0.22,379,453,958
SquareL,0.24,378,453,959
SquareL,0.26,379,453,960
SquareL,0.28,381,453,961
SquareL,0.3,384,453,962
SquareL,0.32,384,453,962
SquareL,0.34,385,453,964
SquareL,0.36,388,453,965
SquareL,0.38,390,453,966
SquareL,0.4,391,453,967
SquareL,0.42,393,453,969
SquareL,0.44,395,453,971
SquareL,0.46,398,453,972
SquareL,0.48,399,453,974
SquareL,0.5,401,453,976
SquareL,0.52,404,453,978
SquareL,0.54,407,453,980
SquareL,0.56,409,453,982
SquareL,0.58,411,453,984
SquareL,0.6,414,453,987
SquareL,0.62,417,453,989
SquareL,0.64,420,453,992
SquareL,0.66,422,453,994
SquareL,0.68,425,453,997
SquareL,0.7,428,453,1000
SquareL,0.72,431,453,1003
SquareL,0.74,433,453,1006
SquareL,0.76,436,453,1009
SquareL,0.78,439,453,1012
SquareL,0.8,441,453,1015
SquareL,0.82,443,453,1018
SquareL,0.84,445,453,1021
SquareL,0.86,447,453,1024
SquareL,0.88,449,453,1028
SquareL,0.9,450,453,1031
SquareL,0.92,452,453,1034
SquareL,0.94,452,453,1038
SquareL,0.96,453,453,1041
SquareL,0.98,453,453,1044
SquareL,1.0,454,453,1048
