Configuration,Power,Volume,Volume_a,Entropy
Widefield,1,340,340,951
Conventional,0.0,340,340,951
Conventional,0.05,343,343,955
Conventional,0.1,353,353,965
Conventional,0.15,368,368,978
Conventional,0.2,387,388,992
Conventional,0.25,409,409,1005
Conventional,0.3,431,432,1017
Conventional,0.35,454,454,1027
Conventional,0.4,474,475,1036
Conventional,0.45,493,494,1043
Conventional,0.5,509,510,1049
Conventional,0.55,523,524,1054
Conventional,0.6,534,535,1058
Conventional,0.65,543,545,1061
Conventional,0.7,550,552,1064
Conventional,0.75,556,557,1066
Conventional,0.8,560,561,1068
Conventional,0.85,562,564,1069
Conventional,0.9,564,566,1070
Conventional,0.95,565,567,1071
Conventional,1.0,565,567,1072
Conventional,1.05,565,567,1072
Conventional,1.1,564,566,1072
Conventional,1.15,564,565,1073
Conventional,1.2,562,564,1073
Conventional,1.25,561,563,1072
Conventional,1.3,560,561,1072
Conventional,1.35,558,560,1072
Conventional,1.4,557,558,1072
Conventional,1.45,555,557,1071
Conventional,1.5,554,555,1071
Conventional,1.55,552,554,1071
Conventional,1.6,551,552,1070
Conventional,1.65,549,551,1070
Conventional,1.7,548,549,1069
Conventional,1.75,547,548,1069
Conventional,1.8,545,547,1069
Conventional,1.85,544,545,1068
Conventional,1.9,543,544,1068
Conventional,1.95,542,543,1067
Conventional,2.0,541,542,1067
SquareL,0.0,340,340,951
SquareL,0.05,342,342,953
SquareL,0.1,346,347,958
SquareL,0.15,354,354,966
SquareL,0.2,363,364,974
SquareL,0.25,373,375,982
SquareL,0.3,384,386,990
SquareL,0.35,395,397,997
SquareL,0.4,405,408,1004
SquareL,0.45,414,417,1009
SquareL,0.5,422,425,1014
SquareL,0.55,429,432,1018
SquareL,0.6,434,438,1021
SquareL,0.65,439,442,1023
SquareL,0.7,442,446,1025
SquareL,0.75,445,449,1027
SquareL,0.8,447,451,1028
SquareL,0.85,449,452,1029
SquareL,0.9,449,453,1030
SquareL,0.95,450,453,1031
SquareL,1.0,450,453,1031
SquareL,1.05,450,453,1031
SquareL,1.1,450,453,1031
SquareL,1.15,450,453,1031
SquareL,1.2,449,452,1031
SquareL,1.25,449,451,1031
SquareL,1.3,448,451,1031
SquareL,1.35,447,450,1031
SquareL,1.4,447,449,1030
SquareL,1.45,446,448,1030
SquareL,1.5,445,448,1030
SquareL,1.55,445,447,1029
SquareL,1.6,444,446,1029
SquareL,1.65,443,445,1029
SquareL,1.7,443,445,1028
SquareL,1.75,442,444,1028
SquareL,1.8,441,443,1028
SquareL,1.85,441,443,1027
SquareL,1.9,440,442,1027
SquareL,1.95,440,441,1027
SquareL,2.0,439,441,1026
SquareC,0.0,340,340,951
SquareC,0.05,344,344,956
SquareC,0.1,355,355,966
SquareC,0.15,370,370,979
SquareC,0.2,387,388,991
SquareC,0.25,404,405,1001
SquareC,0.3,419,420,1009
SquareC,0.35,431,432,1015
SquareC,0.4,440,441,1019
SquareC,0.45,446,447,1022
SquareC,0.5,450,451,1023
SquareC,0.55,451,453,1024
SquareC,0.6,452,453,1025
SquareC,0.65,451,452,1024
SquareC,0.7,449,450,1024
SquareC,0.75,447,448,1023
SquareC,0.8,445,446,1022
SquareC,0.85,442,443,1021
SquareC,0.9,440,441,1020
SquareC,0.95,437,438,1019
SquareC,1.0,435,436,1018
SquareC,1.05,432,433,1017
SquareC,1.1,430,431,1015
SquareC,1.15,428,429,1014
SquareC,1.2,426,427,1013
SquareC,1.25,424,425,1012
SquareC,1.3,422,423,1011
SquareC,1.35,421,422,1010
SquareC,1.4,419,420,1009
SquareC,1.45,418,419,1008
SquareC,1.5,416,417,1008
SquareC,1.55,415,416,1007
SquareC,1.6,414,415,1006
SquareC,1.65,413,414,1005
SquareC,1.7,412,413,1005
SquareC,1.75,411,412,1004
SquareC,1.8,410,411,1003
SquareC,1.85,409,410,1003
SquareC,1.9,408,409,1002
SquareC,1.95,408,408,1002
SquareC,2.0,407,408,1001
Hexagonal,0.0,340,340,951
Hexagonal,0.05,343,343,954
Hexagonal,0.1,350,350,962
Hexagonal,0.15,361,361,972
Hexagonal,0.2,374,375,983
Hexagonal,0.25,389,390,994
Hexagonal,0.3,404,405,1003
Hexagonal,0.35,418,419,1012
Hexagonal,0.4,431,433,1019
Hexagonal,0.45,443,444,1025
Hexagonal,0.5,453,455,1029
Hexagonal,0.55,462,463,1033
Hexagonal,0.6,469,471,1037
Hexagonal,0.65,475,477,1039
Hexagonal,0.7,480,482,1041
Hexagonal,0.75,485,487,1043
Hexagonal,0.8,488,490,1044
Hexagonal,0.85,491,493,1045
Hexagonal,0.9,494,496,1046
Hexagonal,0.95,496,498,1046
Hexagonal,1.0,497,500,1047
Hexagonal,1.05,499,501,1047
Hexagonal,1.1,500,502,1047
Hexagonal,1.15,501,503,1047
Hexagonal,1.2,502,504,1047
Hexagonal,1.25,503,505,1047
Hexagonal,1.3,503,506,1047
Hexagonal,1.35,504,506,1047
Hexagonal,1.4,504,507,1047
Hexagonal,1.45,505,507,1047
Hexagonal,1.5,505,507,1047
Hexagonal,1.55,505,508,1047
Hexagonal,1.6,506,508,1046
Hexagonal,1.65,506,508,1046
Hexagonal,1.7,506,508,1046
Hexagonal,1.75,506,509,1046
Hexagonal,1.8,506,509,1046
Hexagonal,1.85,507,509,1046
Hexagonal,1.9,507,509,1045
Hexagonal,1.95,507,509,1045
Hexagonal,2.0,507,509,1045
