Configuration,NA_ratio,Volume,Volume_a,Entropy
Widefield,1,340,340,951
Conventional,0.2,412,567,963
Conventional,0.22,415,567,964
Conventional,0.24,417,567,965
Conventional,0.26,419,567,966
Conventional,0.28,423,567,968
Conventional,0.3,426,567,969
Conventional,0.32,428,567,971
Conventional,0.34,431,567,973
Conventional,0.36,435,567,975
Conventional,0.38,439,567,977
Conventional,0.4,442,567,979
Conventional,0.42,446,567,981
Conventional,0.44,450,567,984
Conventional,0.46,455,567,986
Conventional,0.48,459,567,989
Conventional,0.5,463,567,992
Conventional,0.52,468,567,995
Conventional,0.54,473,567,998
Conventional,0.56,478,567,1002
Conventional,0.58,483,567,1005
Conventional,0.6,489,567,1009
Conventional,0.62,494,567,1012
Conventional,0.64,499,567,1016
Conventional,0.66,505,567,1020
Conventional,0.68,510,567,1024
Conventional,0.7,516,567,1028
Conventional,0.72,521,567,1032
Conventional,0.74,527,567,1036
Conventional,0.76,532,567,1041
Conventional,0.78,537,567,1045
Conventional,0.8,542,567,1049
Conventional,0.82,546,567,1053
Conventional,0.84,550,567,1058
Conventional,0.86,554,567,1063
Conventional,0.88,557,567,1067
Conventional,0.9,560,567,1072
Conventional,0.92,563,567,1076
Conventional,0.94,565,567,1080
Conventional,0.96,566,567,1085
Conventional,0.98,567,567,1090
Conventional,1.0,567,567,1094
