ThetaIncident,SineRatio,Power1,Power2,sum(log(1 + 10^8 SSNR))
0,0,0,0,133
9.0,0.3,1,1,181
9.0,0.5,1,1,183
9.0,0.7,1,1,168
18.0,0.3,1,1,207
18.0,0.5,1,1,208
18.0,0.7,1,1,196
27.0,0.3,1,1,215
27.0,0.5,1,1,217
27.0,0.7,1,1,211
36.0,0.3,1,1,216
36.0,0.5,1,1,222
36.0,0.7,1,1,222
45.0,0.3,1,1,216
45.0,0.5,1,1,222
45.0,0.7,1,1,228
54.0,0.3,1,1,216
54.0,0.5,1,1,223
54.0,0.7,1,1,232
63.0,0.3,1,1,215
63.0,0.5,1,1,222
63.0,0.7,1,1,233
72.0,0.3,1,1,216
72.0,0.5,1,1,222
72.0,0.7,1,1,232
81.0,0.3,1,1,217
81.0,0.5,1,1,222
81.0,0.7,1,1,230
90.0,0.3,1,1,218
90.0,0.5,1,1,223
90.0,0.7,1,1,231
