ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,measure,measure * products
0,0,0,0,267,267,0,0.0
9.0,1,1,0,387,400.77705197961217,9,0.034
18.0,1,1,0,394,400.77705197961217,15,0.058
27.0,1,1,0,397,400.77705197961217,19,0.077
36.0,1,1,0,397,400.77705197961217,30,0.119
45.0,1,1,0,397,400.77705197961217,29,0.115
54.0,1,1,0,396,400.77705197961217,35,0.14
63.0,1,1,0,393,400.77705197961217,35,0.138
72.0,1,1,0,393,400.77705197961217,47,0.183
81.0,1,1,0,389,400.77705197961217,32,0.126
90.0,1,1,0,389,400.77705197961217,49,0.19
