ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,measure
0,0,0,0,267,267,0
54.0,0.1,0.5,0.5,462,467.5732273095475,42
54.0,0.1,0.5,1.0,426,443.52660419077074,29
54.0,0.1,0.5,2.0,391,415.5692845786288,10
54.0,0.1,1.0,0.5,442,443.52660419077074,54
54.0,0.1,1.0,1.0,462,467.5732273095475,42
54.0,0.1,1.0,2.0,426,443.52660419077074,29
54.0,0.1,2.0,0.5,412,415.5692845786289,38
54.0,0.1,2.0,1.0,442,443.52660419077074,54
54.0,0.1,2.0,2.0,462,467.5732273095475,42
54.0,0.2,0.5,0.5,468,467.5732273095475,47
54.0,0.2,0.5,1.0,436,443.52660419077074,25
54.0,0.2,0.5,2.0,403,415.5692845786288,10
54.0,0.2,1.0,0.5,444,443.52660419077074,54
54.0,0.2,1.0,1.0,468,467.5732273095475,47
54.0,0.2,1.0,2.0,436,443.52660419077074,25
54.0,0.2,2.0,0.5,413,415.5692845786289,38
54.0,0.2,2.0,1.0,444,443.52660419077074,54
54.0,0.2,2.0,2.0,468,467.5732273095475,47
54.0,0.30000000000000004,0.5,0.5,472,467.5732273095475,43
54.0,0.30000000000000004,0.5,1.0,442,443.52660419077074,31
54.0,0.30000000000000004,0.5,2.0,409,415.5692845786288,14
54.0,0.30000000000000004,1.0,0.5,446,443.52660419077074,53
54.0,0.30000000000000004,1.0,1.0,472,467.5732273095475,43
54.0,0.30000000000000004,1.0,2.0,442,443.52660419077074,31
54.0,0.30000000000000004,2.0,0.5,413,415.5692845786289,38
54.0,0.30000000000000004,2.0,1.0,446,443.52660419077074,53
54.0,0.30000000000000004,2.0,2.0,472,467.5732273095475,43
54.0,0.4,0.5,0.5,476,467.5732273095475,49
54.0,0.4,0.5,1.0,446,443.52660419077074,27
54.0,0.4,0.5,2.0,412,415.5692845786288,20
54.0,0.4,1.0,0.5,447,443.52660419077074,53
54.0,0.4,1.0,1.0,476,467.5732273095475,49
54.0,0.4,1.0,2.0,446,443.52660419077074,27
54.0,0.4,2.0,0.5,414,415.5692845786289,38
54.0,0.4,2.0,1.0,447,443.52660419077074,53
54.0,0.4,2.0,2.0,476,467.5732273095475,49
54.0,0.5,0.5,0.5,484,467.5732273095475,48
54.0,0.5,0.5,1.0,453,443.52660419077074,41
54.0,0.5,0.5,2.0,417,415.5692845786288,22
54.0,0.5,1.0,0.5,452,443.52660419077074,52
54.0,0.5,1.0,1.0,484,467.5732273095475,48
54.0,0.5,1.0,2.0,453,443.52660419077074,41
54.0,0.5,2.0,0.5,415,415.5692845786289,37
54.0,0.5,2.0,1.0,452,443.52660419077074,52
54.0,0.5,2.0,2.0,484,467.5732273095475,48
54.0,0.6,0.5,0.5,487,467.5732273095475,44
54.0,0.6,0.5,1.0,454,443.52660419077074,33
54.0,0.6,0.5,2.0,416,415.5692845786288,25
54.0,0.6,1.0,0.5,454,443.52660419077074,51
54.0,0.6,1.0,1.0,487,467.5732273095475,44
54.0,0.6,1.0,2.0,454,443.52660419077074,33
54.0,0.6,2.0,0.5,416,415.5692845786289,37
54.0,0.6,2.0,1.0,454,443.52660419077074,51
54.0,0.6,2.0,2.0,487,467.5732273095475,44
54.0,0.7000000000000001,0.5,0.5,497,467.5732273095475,44
54.0,0.7000000000000001,0.5,1.0,460,443.52660419077074,37
54.0,0.7000000000000001,0.5,2.0,419,415.5692845786288,23
54.0,0.7000000000000001,1.0,0.5,460,443.52660419077074,50
54.0,0.7000000000000001,1.0,1.0,497,467.5732273095475,44
54.0,0.7000000000000001,1.0,2.0,460,443.52660419077074,37
54.0,0.7000000000000001,2.0,0.5,418,415.5692845786289,36
54.0,0.7000000000000001,2.0,1.0,460,443.52660419077074,50
54.0,0.7000000000000001,2.0,2.0,497,467.5732273095475,44
54.0,0.8,0.5,0.5,511,467.5732273095475,47
54.0,0.8,0.5,1.0,470,443.52660419077074,48
54.0,0.8,0.5,2.0,423,415.5692845786288,32
54.0,0.8,1.0,0.5,470,443.52660419077074,49
54.0,0.8,1.0,1.0,511,467.5732273095475,47
54.0,0.8,1.0,2.0,470,443.52660419077074,48
54.0,0.8,2.0,0.5,421,415.5692845786289,35
54.0,0.8,2.0,1.0,470,443.52660419077074,49
54.0,0.8,2.0,2.0,511,467.5732273095475,47
54.0,0.9,0.5,0.5,528,467.5732273095475,74
54.0,0.9,0.5,1.0,480,443.52660419077074,49
54.0,0.9,0.5,2.0,425,415.5692845786288,34
