ThetaIncident,SineRatio,Power1,Power2,volume,volume_a,total,total_a,,measure,entropy
0,0,0,0,267,267,209,209,2739,0,1247
9,0.1,0.5,0.5,320,451,163,128,3305,2,1459
9,0.1,0.5,1,325,466,149,125,3367,2,1487
9,0.1,0.5,2,306,436,154,137,3162,1,1411
9,0.1,1,0.5,366,466,147,125,3808,4,1648
9,0.1,1,1,396,481,131,120,4125,9,1756
9,0.1,1,2,363,457,134,128,3767,5,1627
9,0.1,2,0.5,384,436,145,137,4021,6,1736
9,0.1,2,1,423,457,129,128,4429,11,1871
9,0.1,2,2,443,474,120,122,4627,16,1928
9,0.2,0.5,0.5,324,451,164,128,3349,2,1476
9,0.2,0.5,1,340,466,148,125,3522,2,1540
9,0.2,0.5,2,333,436,151,137,3437,2,1503
9,0.2,1,0.5,367,466,147,125,3826,4,1659
9,0.2,1,1,406,481,131,120,4226,7,1787
9,0.2,1,2,383,457,132,128,3978,6,1700
9,0.2,2,0.5,384,436,145,137,4022,6,1737
9,0.2,2,1,426,457,130,128,4459,11,1880
9,0.2,2,2,455,474,121,122,4761,13,1976
9,0.3,0.5,0.5,327,451,165,128,3382,2,1489
9,0.3,0.5,1,356,466,151,125,3687,3,1596
9,0.3,0.5,2,360,436,153,137,3722,5,1603
9,0.3,1,0.5,368,466,148,125,3834,4,1660
9,0.3,1,1,415,481,133,120,4327,11,1825
9,0.3,1,2,409,457,136,128,4255,7,1795
9,0.3,2,0.5,384,436,145,137,4019,6,1734
9,0.3,2,1,427,457,130,128,4475,11,1889
9,0.3,2,2,469,474,123,122,4906,20,2021
9,0.4,0.5,0.5,326,451,165,128,3373,2,1486
9,0.4,0.5,1,358,466,150,125,3711,5,1606
9,0.4,0.5,2,367,436,151,137,3802,3,1635
9,0.4,1,0.5,366,466,148,125,3810,4,1650
9,0.4,1,1,413,481,133,120,4307,10,1819
9,0.4,1,2,412,457,135,128,4291,13,1810
9,0.4,2,0.5,382,436,145,137,4002,6,1731
9,0.4,2,1,424,457,130,128,4437,11,1872
9,0.4,2,2,467,474,123,122,4880,19,2010
9,0.5,0.5,0.5,326,451,165,128,3372,3,1485
9,0.5,0.5,1,363,466,152,125,3764,5,1624
9,0.5,0.5,2,374,436,151,137,3885,5,1669
9,0.5,1,0.5,363,466,148,125,3786,5,1646
9,0.5,1,1,415,481,135,120,4328,15,1826
9,0.5,1,2,422,457,137,128,4394,14,1843
9,0.5,2,0.5,380,436,145,137,3980,6,1723
9,0.5,2,1,420,457,131,128,4403,11,1866
9,0.5,2,2,470,474,125,122,4924,14,2032
9,0.6,0.5,0.5,321,451,164,128,3318,2,1465
9,0.6,0.5,1,354,466,149,125,3673,4,1595
9,0.6,0.5,2,370,436,148,137,3848,4,1660
9,0.6,1,0.5,357,466,148,125,3721,5,1623
9,0.6,1,1,400,481,133,120,4170,10,1773
9,0.6,1,2,405,457,132,128,4227,10,1795
9,0.6,2,0.5,377,436,145,137,3945,6,1709
9,0.6,2,1,410,457,130,128,4295,11,1828
9,0.6,2,2,449,474,123,122,4696,18,1954
9,0.7,0.5,0.5,315,451,164,128,3263,1,1451
9,0.7,0.5,1,347,466,148,125,3610,4,1580
9,0.7,0.5,2,368,436,146,137,3830,4,1656
9,0.7,1,0.5,350,466,147,125,3643,5,1593
9,0.7,1,1,387,481,132,120,4039,7,1733
9,0.7,1,2,395,457,131,128,4127,9,1765
9,0.7,2,0.5,372,436,144,137,3895,6,1693
9,0.7,2,1,398,457,130,128,4171,12,1788
9,0.7,2,2,432,474,122,122,4520,13,1898
9,0.8,0.5,0.5,306,451,162,128,3167,1,1416
9,0.8,0.5,1,336,466,146,125,3491,3,1536
9,0.8,0.5,2,361,436,145,137,3770,6,1644
9,0.8,1,0.5,337,466,146,125,3512,3,1551
9,0.8,1,1,366,481,131,120,3821,7,1661
9,0.8,1,2,377,457,129,128,3943,6,1707
9,0.8,2,0.5,364,436,143,137,3810,6,1663
9,0.8,2,1,379,457,129,128,3968,6,1718
9,0.8,2,2,404,474,121,122,4233,13,1808
9,0.9,0.5,0.5,294,451,162,128,3048,1,1377
9,0.9,0.5,1,321,466,146,125,3342,3,1489
9,0.9,0.5,2,353,436,144,137,3686,5,1615
9,0.9,1,0.5,322,466,146,125,3351,3,1492
9,0.9,1,1,341,481,132,120,3564,4,1575
9,0.9,1,2,355,457,130,128,3717,6,1632
9,0.9,2,0.5,354,436,143,137,3703,6,1625
9,0.9,2,1,356,457,130,128,3727,6,1636
9,0.9,2,2,372,474,124,122,3902,8,1700
9,1,0.5,0.5,322,445,174,135,3344,2,1485
9,1,0.5,1,348,436,162,138,3636,4,1599
9,1,0.5,2,370,418,154,147,3879,7,1691
9,1,1,0.5,348,436,162,138,3636,4,1599
9,1,1,1,363,426,157,143,3792,6,1652
9,1,1,2,375,414,152,149,3930,7,1707
9,1,2,0.5,370,418,154,147,3879,7,1691
9,1,2,1,375,414,152,149,3930,7,1707
9,1,2,2,380,409,151,152,3985,8,1728
18,0.1,0.5,0.5,339,451,161,128,3543,4,1568
18,0.1,0.5,1,357,466,149,125,3725,4,1627
18,0.1,0.5,2,347,436,154,137,3596,3,1566
18,0.1,1,0.5,389,466,143,125,4117,10,1797
18,0.1,1,1,431,481,126,120,4567,18,1953
18,0.1,1,2,407,457,132,128,4284,9,1838
18,0.1,2,0.5,400,436,141,137,4271,10,1874
18,0.1,2,1,449,457,124,128,4800,16,2058
18,0.1,2,2,486,474,113,122,5178,20,2172
18,0.2,0.5,0.5,342,451,161,128,3575,4,1579
18,0.2,0.5,1,368,466,146,125,3854,5,1680
18,0.2,0.5,2,368,436,148,137,3833,4,1659
18,0.2,1,0.5,390,466,143,125,4131,10,1804
18,0.2,1,1,439,481,125,120,4651,13,1980
18,0.2,1,2,425,457,127,128,4476,11,1904
18,0.2,2,0.5,401,436,141,137,4272,14,1868
18,0.2,2,1,451,457,124,128,4824,16,2068
18,0.2,2,2,496,474,112,122,5295,20,2217
18,0.3,0.5,0.5,344,451,161,128,3594,4,1585
18,0.3,0.5,1,376,466,147,125,3945,5,1715
18,0.3,0.5,2,382,436,147,137,3993,5,1722
18,0.3,1,0.5,391,466,143,125,4137,10,1803
18,0.3,1,1,444,481,126,120,4708,13,2001
18,0.3,1,2,439,457,128,128,4634,13,1963
18,0.3,2,0.5,400,436,141,137,4272,14,1875
18,0.3,2,1,452,457,124,128,4834,16,2071
18,0.3,2,2,504,474,113,122,5379,20,2243
18,0.4,0.5,0.5,344,451,161,128,3596,4,1587
18,0.4,0.5,1,378,466,146,125,3968,8,1725
18,0.4,0.5,2,386,436,146,137,4046,8,1747
18,0.4,1,0.5,390,466,143,125,4130,9,1803
18,0.4,1,1,443,481,126,120,4709,16,2010
18,0.4,1,2,441,457,127,128,4667,19,1982
18,0.4,2,0.5,400,436,141,137,4266,14,1869
18,0.4,2,1,451,457,124,128,4822,16,2066
18,0.4,2,2,503,474,113,122,5379,28,2250
18,0.5,0.5,0.5,345,451,161,128,3609,4,1593
18,0.5,0.5,1,382,466,147,125,4019,7,1748
18,0.5,0.5,2,391,436,145,137,4114,8,1780
18,0.5,1,0.5,390,466,143,125,4130,10,1803
18,0.5,1,1,447,481,127,120,4748,18,2020
18,0.5,1,2,448,457,128,128,4754,17,2019
18,0.5,2,0.5,399,436,141,137,4261,11,1871
18,0.5,2,1,451,457,124,128,4823,17,2067
18,0.5,2,2,508,474,114,122,5438,23,2273
18,0.6,0.5,0.5,344,451,160,128,3594,4,1585
18,0.6,0.5,1,379,466,145,125,3989,9,1739
18,0.6,0.5,2,389,436,143,137,4106,11,1786
18,0.6,1,0.5,388,466,143,125,4104,9,1791
18,0.6,1,1,440,481,126,120,4676,13,1998
18,0.6,1,2,441,457,126,128,4677,12,1992
18,0.6,2,0.5,398,436,141,137,4245,11,1862
18,0.6,2,1,446,457,124,128,4771,17,2050
18,0.6,2,2,498,474,113,122,5322,33,2229
18,0.7,0.5,0.5,342,451,160,128,3579,5,1583
18,0.7,0.5,1,378,466,144,125,3976,7,1733
