ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
0,0,0,0,267,267,2740
9,0.1,0.5,0.5,320,451,3304
9,0.1,0.5,1,325,466,3367
9,0.1,0.5,2,306,436,3162
9,0.1,1,0.5,366,466,3807
9,0.1,1,1,396,481,4125
9,0.1,1,2,363,457,3767
9,0.1,2,0.5,384,436,4020
9,0.1,2,1,423,457,4428
9,0.1,2,2,443,474,4627
9,0.2,0.5,0.5,324,451,3348
9,0.2,0.5,1,340,466,3521
9,0.2,0.5,2,333,436,3437
9,0.2,1,0.5,367,466,3825
9,0.2,1,1,406,481,4226
9,0.2,1,2,383,457,3978
9,0.2,2,0.5,384,436,4022
9,0.2,2,1,426,457,4459
9,0.2,2,2,455,474,4761
9,0.3,0.5,0.5,327,451,3381
9,0.3,0.5,1,356,466,3687
9,0.3,0.5,2,360,436,3722
9,0.3,1,0.5,368,466,3833
9,0.3,1,1,415,481,4326
9,0.3,1,2,409,457,4255
9,0.3,2,0.5,384,436,4019
9,0.3,2,1,427,457,4475
9,0.3,2,2,469,474,4906
9,0.4,0.5,0.5,326,451,3372
9,0.4,0.5,1,358,466,3711
9,0.4,0.5,2,367,436,3802
9,0.4,1,0.5,366,466,3809
9,0.4,1,1,413,481,4306
9,0.4,1,2,412,457,4291
9,0.4,2,0.5,382,436,4002
9,0.4,2,1,424,457,4436
9,0.4,2,2,467,474,4880
9,0.5,0.5,0.5,326,451,3370
9,0.5,0.5,1,363,466,3763
9,0.5,0.5,2,374,436,3885
9,0.5,1,0.5,363,466,3785
9,0.5,1,1,415,481,4328
9,0.5,1,2,422,457,4394
9,0.5,2,0.5,380,436,3979
9,0.5,2,1,420,457,4403
9,0.5,2,2,470,474,4924
9,0.6,0.5,0.5,321,451,3316
9,0.6,0.5,1,354,466,3672
9,0.6,0.5,2,370,436,3848
9,0.6,1,0.5,357,466,3720
9,0.6,1,1,400,481,4170
9,0.6,1,2,405,457,4227
9,0.6,2,0.5,377,436,3945
9,0.6,2,1,410,457,4295
9,0.6,2,2,449,474,4696
9,0.7,0.5,0.5,315,451,3261
9,0.7,0.5,1,347,466,3609
9,0.7,0.5,2,368,436,3830
9,0.7,1,0.5,350,466,3642
9,0.7,1,1,387,481,4038
9,0.7,1,2,395,457,4127
9,0.7,2,0.5,372,436,3895
9,0.7,2,1,398,457,4170
9,0.7,2,2,432,474,4520
9,0.8,0.5,0.5,306,451,3165
9,0.8,0.5,1,336,466,3490
9,0.8,0.5,2,361,436,3770
9,0.8,1,0.5,337,466,3511
9,0.8,1,1,366,481,3821
9,0.8,1,2,377,457,3942
