Configuration,Aberration,Aberration Strength,Volume,Volume_a,Entropy
Widefield,Spherical,0.0,340,340,951
Widefield,Spherical,0.1,338,338,950
Widefield,Spherical,0.2,333,333,949
Widefield,Spherical,0.3,325,325,946
Widefield,Spherical,0.4,314,314,943
Widefield,Spherical,0.5,301,301,938
Widefield,Spherical,0.6,287,287,932
Widefield,Spherical,0.7,272,272,924
Widefield,Spherical,0.8,256,256,916
Widefield,Spherical,0.9,240,240,906
Widefield,Spherical,1.0,226,226,894
Widefield,Spherical,1.1,212,212,883
Widefield,Spherical,1.2,200,200,871
Widefield,Spherical,1.3,189,189,860
Widefield,Spherical,1.4,180,180,851
Widefield,Spherical,1.5,172,172,844
Widefield,Spherical,1.6,165,165,838
Widefield,Spherical,1.7,159,159,834
Widefield,Spherical,1.8,155,155,831
Widefield,Spherical,1.9,150,150,828
Widefield,Spherical,2.0,146,146,826
Widefield,Astigmatism,0.0,340,340,951
Widefield,Astigmatism,0.1,338,338,950
Widefield,Astigmatism,0.2,333,333,948
Widefield,Astigmatism,0.3,325,325,944
Widefield,Astigmatism,0.4,314,314,938
Widefield,Astigmatism,0.5,301,301,931
Widefield,Astigmatism,0.6,288,288,922
Widefield,Astigmatism,0.7,274,274,912
Widefield,Astigmatism,0.8,260,260,900
Widefield,Astigmatism,0.9,246,246,888
Widefield,Astigmatism,1.0,234,234,876
Widefield,Astigmatism,1.1,222,222,864
Widefield,Astigmatism,1.2,212,212,854
Widefield,Astigmatism,1.3,203,203,844
Widefield,Astigmatism,1.4,195,195,834
Widefield,Astigmatism,1.5,187,187,826
Widefield,Astigmatism,1.6,180,180,818
Widefield,Astigmatism,1.7,174,174,811
Widefield,Astigmatism,1.8,168,168,804
Widefield,Astigmatism,1.9,162,162,797
Widefield,Astigmatism,2.0,157,157,790
Widefield,Comma,0.0,340,340,951
Widefield,Comma,0.1,338,338,950
Widefield,Comma,0.2,334,334,949
Widefield,Comma,0.3,328,328,946
Widefield,Comma,0.4,319,319,942
Widefield,Comma,0.5,308,308,937
Widefield,Comma,0.6,296,296,931
Widefield,Comma,0.7,282,282,923
Widefield,Comma,0.8,268,268,915
Widefield,Comma,0.9,253,253,905
Widefield,Comma,1.0,239,239,893
Widefield,Comma,1.1,225,225,881
Widefield,Comma,1.2,212,212,869
Widefield,Comma,1.3,200,200,856
Widefield,Comma,1.4,189,189,843
Widefield,Comma,1.5,179,179,831
Widefield,Comma,1.6,170,170,821
Widefield,Comma,1.7,162,162,811
Widefield,Comma,1.8,155,155,803
Widefield,Comma,1.9,149,149,796
Widefield,Comma,2.0,144,144,791
