Configuration,NA_ratio,Volume,Volume_a,Entropy
Widefield,1,344,344,941
Conventional,0.1,559,573,950
Conventional,0.15,612,573,958
Conventional,0.2,626,573,966
Conventional,0.25,642,573,974
Conventional,0.3,650,573,982
Conventional,0.35,654,573,990
Conventional,0.4,651,573,997
Conventional,0.45,648,573,1004
Conventional,0.5,642,573,1010
Conventional,0.55,636,573,1017
Conventional,0.6,628,573,1023
Conventional,0.65,619,573,1029
Conventional,0.7,609,573,1036
Conventional,0.75,600,573,1043
Conventional,0.8,590,573,1050
Conventional,0.85,582,573,1058
Conventional,0.9,576,573,1066
Conventional,0.95,573,573,1076
Conventional,1,573,573,1087
SquareC,0.1,465,539,946
SquareC,0.15,488,537,951
SquareC,0.2,487,535,955
SquareC,0.25,498,532,960
SquareC,0.3,502,529,965
SquareC,0.35,508,525,970
SquareC,0.4,504,521,974
SquareC,0.45,502,516,978
SquareC,0.5,499,511,983
SquareC,0.55,497,506,987
SquareC,0.6,493,500,991
SquareC,0.65,488,493,995
SquareC,0.7,482,487,999
SquareC,0.75,477,480,1003
SquareC,0.8,470,473,1007
SquareC,0.85,464,466,1012
SquareC,0.9,457,458,1016
SquareC,0.95,448,449,1020
SquareC,1,438,438,1022
SquareL,0.1,415,459,946
SquareL,0.15,432,459,951
SquareL,0.2,433,459,954
SquareL,0.25,439,459,959
SquareL,0.3,444,459,963
SquareL,0.35,449,459,967
SquareL,0.4,449,459,971
SquareL,0.45,451,459,976
SquareL,0.5,451,459,980
SquareL,0.55,453,459,984
SquareL,0.6,454,459,989
SquareL,0.65,455,459,994
SquareL,0.7,456,459,999
SquareL,0.75,456,459,1005
SquareL,0.8,456,459,1010
SquareL,0.85,457,459,1017
SquareL,0.9,458,459,1024
SquareL,0.95,458,459,1031
SquareL,1,459,459,1039
Hexagonal,0.1,441,505,948
Hexagonal,0.15,464,505,953
Hexagonal,0.2,469,505,959
Hexagonal,0.25,479,505,964
Hexagonal,0.3,484,505,969
Hexagonal,0.35,489,505,975
Hexagonal,0.4,491,505,980
Hexagonal,0.45,493,505,985
Hexagonal,0.5,494,505,991
Hexagonal,0.55,497,505,996
Hexagonal,0.6,498,505,1002
Hexagonal,0.65,499,505,1007
Hexagonal,0.7,500,505,1013
Hexagonal,0.75,501,505,1020
Hexagonal,0.8,502,505,1026
Hexagonal,0.85,502,505,1033
Hexagonal,0.9,503,505,1041
Hexagonal,0.95,504,505,1049
Hexagonal,1,504,505,1058
