Configuration,Size,Volume,Entropy
Widefield,0,169.37519661489662,742.8409095405185
Conventional,0,253.96424829057042,850.434002829621
Square,0,211.6074641401022,811.6595694072424
Hexagonal,0,252.4165402786702,844.8054315764756
Conventional,1,132.75800465857606,787.0884019826291
Conventional,3,169.94004096371825,803.4015744914124
Conventional,5,211.06564333142114,832.0411568750274
Conventional,7,246.46534599855613,847.479848921285
Conventional,9,252.22048176828193,848.5896890466026
Conventional,11,245.61385972905,842.8714689040343
Conventional,13,238.2339995396539,834.3586174251467
Conventional,15,233.0789628592279,827.8420004056841
Conventional,17,232.70196900110147,827.8053129789141
Conventional,19,231.2787013883634,827.0595724220806
Conventional,21,231.1449019560228,827.1487598691793
Conventional,23,229.02711721082306,826.0775025044031
Conventional,25,226.40299085672325,823.8114957419464
Conventional,27,235.08244983579044,830.2222450902526
Conventional,29,229.04451536777603,825.1277012772198
Square,1,145.69674638672512,763.6360578753798
Square,3,166.9713208857225,771.8655190013177
Square,5,188.39472174356982,792.7825289964109
Square,7,207.25815121684136,808.0964282779572
Square,9,210.4446175657941,809.8049283611184
Square,11,205.91736436649782,803.6235842219658
Square,13,200.71381854564208,795.182613766202
Square,15,196.97020906705194,789.3329574798463
Square,17,194.48284643810706,786.7359591394381
Square,19,197.46381171967795,791.7047775974138
Square,21,193.68492872873105,787.4310553359604
Square,23,193.72372394113003,788.2723747098039
Square,25,190.63408685097983,784.7802714021741
Square,27,198.81863564831863,793.7079380711483
Square,29,193.04274163746155,786.8808212263714
Hexagonal,1,148.0664980680712,787.3135747648106
Hexagonal,3,174.02722801255481,797.432683081847
Hexagonal,5,200.77651082226163,817.7988066138562
Hexagonal,7,228.25602786735487,837.8787461311836
Hexagonal,9,238.3945562887899,839.6189694583246
Hexagonal,11,233.330928414323,830.0626265614625
Hexagonal,13,223.04513742737655,816.193206352362
Hexagonal,15,211.5863435546227,802.8097813721731
Hexagonal,17,202.228159128388,794.3190015465163
Hexagonal,19,193.38161879888355,787.1695227241256
Hexagonal,21,185.76656051799006,779.8879776448933
Hexagonal,23,179.27958295589946,772.7535555122186
Hexagonal,25,173.9299115363641,767.587109573611
Hexagonal,27,171.00666994811996,764.0632324999513
Hexagonal,29,169.0736699471933,762.3609029049315
