Configuration,IncidentAngle,Power,Volume,Volume_a,Entropy
Widefield,45,0,275,275,887
Conventional,45,0,275,275,887
Conventional,45,0.1,285,285,906
Conventional,45,0.2,312,313,940
Conventional,45,0.3,346,349,970
Conventional,45,0.4,380,384,993
Conventional,45,0.5,407,412,1009
Conventional,45,0.6,427,433,1019
Conventional,45,0.7,440,446,1026
Conventional,45,0.8,448,453,1030
Conventional,45,0.9,451,457,1032
Conventional,45,1,453,458,1033
Conventional,45,1.1,452,457,1033
Conventional,45,1.2,451,456,1033
Conventional,45,1.3,449,453,1032
Conventional,45,1.4,447,451,1031
Conventional,45,1.5,444,448,1030
Conventional,45,1.6,442,446,1028
Conventional,45,1.7,440,444,1027
Conventional,45,1.8,438,442,1025
Conventional,45,1.9,436,439,1024
Conventional,45,2,434,438,1023
SquareC,45,0,275,275,887
SquareC,45,0.1,289,290,912
SquareC,45,0.2,321,323,947
SquareC,45,0.3,352,355,971
SquareC,45,0.4,372,375,983
SquareC,45,0.5,380,383,989
SquareC,45,0.6,380,384,990
SquareC,45,0.7,376,379,988
SquareC,45,0.8,370,373,986
SquareC,45,0.9,364,367,983
SquareC,45,1,358,361,979
SquareC,45,1.1,353,355,976
SquareC,45,1.2,348,350,972
SquareC,45,1.3,344,346,969
SquareC,45,1.4,340,342,966
SquareC,45,1.5,337,339,964
SquareC,45,1.6,334,336,961
SquareC,45,1.7,332,333,959
SquareC,45,1.8,330,331,957
SquareC,45,1.9,328,329,955
SquareC,45,2,326,327,953
SquareL,45,0,275,275,887
SquareL,45,0.1,280,280,898
SquareL,45,0.2,293,294,918
SquareL,45,0.3,311,312,938
SquareL,45,0.4,327,329,954
SquareL,45,0.5,341,343,966
SquareL,45,0.6,351,354,974
SquareL,45,0.7,358,360,979
SquareL,45,0.8,362,364,983
SquareL,45,0.9,363,366,984
SquareL,45,1,364,366,985
SquareL,45,1.1,364,366,985
SquareL,45,1.2,363,365,984
SquareL,45,1.3,362,364,983
SquareL,45,1.4,361,363,982
SquareL,45,1.5,360,362,981
SquareL,45,1.6,359,360,980
SquareL,45,1.7,358,359,979
SquareL,45,1.8,357,358,978
SquareL,45,1.9,356,357,976
SquareL,45,2,355,356,975
Hexagonal,45,0,275,275,887
Hexagonal,45,0.1,282,283,902
Hexagonal,45,0.2,302,303,929
Hexagonal,45,0.3,325,327,953
Hexagonal,45,0.4,347,349,972
Hexagonal,45,0.5,364,367,984
Hexagonal,45,0.6,377,380,993
Hexagonal,45,0.7,386,390,998
Hexagonal,45,0.8,392,396,1001
Hexagonal,45,0.9,397,400,1002
Hexagonal,45,1,400,404,1003
Hexagonal,45,1.1,402,406,1003
Hexagonal,45,1.2,404,407,1003
Hexagonal,45,1.3,405,408,1003
Hexagonal,45,1.4,406,409,1002
Hexagonal,45,1.5,407,410,1002
Hexagonal,45,1.6,407,410,1001
Hexagonal,45,1.7,408,411,1000
Hexagonal,45,1.8,408,411,1000
Hexagonal,45,1.9,408,411,999
Hexagonal,45,2,408,411,999
