Configuration,Aberration,Aberration Strength,Volume,Volume_a,Entropy
Conventional,Spherical,0.0,565,566,1072
Conventional,Spherical,0.1,562,564,1071
Conventional,Spherical,0.2,554,555,1070
Conventional,Spherical,0.3,540,542,1068
Conventional,Spherical,0.4,523,524,1065
Conventional,Spherical,0.5,501,502,1062
Conventional,Spherical,0.6,477,478,1057
Conventional,Spherical,0.7,452,453,1051
Conventional,Spherical,0.8,426,427,1044
Conventional,Spherical,0.9,400,401,1036
Conventional,Spherical,1.0,376,376,1027
Conventional,Spherical,1.1,353,354,1018
Conventional,Spherical,1.2,333,333,1009
Conventional,Spherical,1.3,315,315,1000
Conventional,Spherical,1.4,299,300,992
Conventional,Spherical,1.5,286,286,986
Conventional,Spherical,1.6,275,275,981
Conventional,Spherical,1.7,266,266,976
Conventional,Spherical,1.8,257,258,973
Conventional,Spherical,1.9,250,250,971
Conventional,Spherical,2.0,244,244,969
SquareL,Spherical,0.0,450,453,1031
SquareL,Spherical,0.1,448,451,1031
SquareL,Spherical,0.2,441,444,1029
SquareL,Spherical,0.3,431,433,1027
SquareL,Spherical,0.4,416,419,1024
SquareL,Spherical,0.5,400,402,1020
SquareL,Spherical,0.6,381,383,1015
SquareL,Spherical,0.7,361,362,1008
SquareL,Spherical,0.8,340,341,1001
SquareL,Spherical,0.9,320,321,992
SquareL,Spherical,1.0,300,301,983
SquareL,Spherical,1.1,282,283,973
SquareL,Spherical,1.2,266,266,963
SquareL,Spherical,1.3,252,252,954
SquareL,Spherical,1.4,240,240,945
SquareL,Spherical,1.5,229,229,939
SquareL,Spherical,1.6,220,220,933
SquareL,Spherical,1.7,213,213,929
SquareL,Spherical,1.8,206,206,926
SquareL,Spherical,1.9,200,200,923
SquareL,Spherical,2.0,195,195,921
SquareC,Spherical,0.0,451,452,1025
SquareC,Spherical,0.1,449,450,1024
SquareC,Spherical,0.2,443,444,1023
SquareC,Spherical,0.3,432,433,1021
SquareC,Spherical,0.4,418,419,1018
SquareC,Spherical,0.5,401,401,1014
SquareC,Spherical,0.6,381,382,1009
SquareC,Spherical,0.7,361,362,1002
SquareC,Spherical,0.8,340,341,995
SquareC,Spherical,0.9,320,320,987
SquareC,Spherical,1.0,300,301,977
SquareC,Spherical,1.1,282,282,968
SquareC,Spherical,1.2,266,266,958
SquareC,Spherical,1.3,252,252,948
SquareC,Spherical,1.4,239,239,940
SquareC,Spherical,1.5,229,229,934
SquareC,Spherical,1.6,220,220,928
SquareC,Spherical,1.7,212,212,924
SquareC,Spherical,1.8,206,206,921
SquareC,Spherical,1.9,200,200,918
SquareC,Spherical,2.0,195,195,916
Hexagonal,Spherical,0.0,497,499,1047
Hexagonal,Spherical,0.1,495,497,1046
Hexagonal,Spherical,0.2,487,489,1045
Hexagonal,Spherical,0.3,475,477,1043
Hexagonal,Spherical,0.4,460,462,1040
Hexagonal,Spherical,0.5,441,443,1036
Hexagonal,Spherical,0.6,420,422,1031
Hexagonal,Spherical,0.7,398,399,1025
Hexagonal,Spherical,0.8,375,376,1017
Hexagonal,Spherical,0.9,352,353,1009
Hexagonal,Spherical,1.0,331,332,1000
Hexagonal,Spherical,1.1,311,312,991
Hexagonal,Spherical,1.2,293,294,981
Hexagonal,Spherical,1.3,277,278,972
Hexagonal,Spherical,1.4,264,264,965
Hexagonal,Spherical,1.5,252,252,958
Hexagonal,Spherical,1.6,242,242,953
Hexagonal,Spherical,1.7,234,234,949
Hexagonal,Spherical,1.8,227,227,946
Hexagonal,Spherical,1.9,220,221,944
Hexagonal,Spherical,2.0,215,215,942
Conventional,Coma,0.0,565,566,1072
Conventional,Coma,0.1,563,564,1071
Conventional,Coma,0.2,556,557,1070
Conventional,Coma,0.3,545,546,1068
Conventional,Coma,0.4,530,531,1065
Conventional,Coma,0.5,512,513,1061
Conventional,Coma,0.6,492,493,1057
Conventional,Coma,0.7,469,470,1051
Conventional,Coma,0.8,446,446,1044
Conventional,Coma,0.9,422,422,1037
Conventional,Coma,1.0,398,398,1028
Conventional,Coma,1.1,375,375,1019
Conventional,Coma,1.2,353,353,1009
Conventional,Coma,1.3,333,333,999
Conventional,Coma,1.4,314,315,989
Conventional,Coma,1.5,298,298,979
Conventional,Coma,1.6,283,283,970
Conventional,Coma,1.7,270,270,962
Conventional,Coma,1.8,258,259,954
Conventional,Coma,1.9,248,249,948
Conventional,Coma,2.0,240,240,942
SquareL,Coma,0.0,450,453,1031
SquareL,Coma,0.1,448,451,1031
SquareL,Coma,0.2,443,446,1029
SquareL,Coma,0.3,434,437,1027
SquareL,Coma,0.4,422,425,1024
SquareL,Coma,0.5,408,411,1019
SquareL,Coma,0.6,392,394,1014
SquareL,Coma,0.7,374,376,1008
SquareL,Coma,0.8,355,357,1000
SquareL,Coma,0.9,336,338,991
SquareL,Coma,1.0,318,319,982
SquareL,Coma,1.1,299,300,972
SquareL,Coma,1.2,282,283,961
SquareL,Coma,1.3,266,266,950
SquareL,Coma,1.4,251,252,938
SquareL,Coma,1.5,238,238,928
SquareL,Coma,1.6,226,226,918
SquareL,Coma,1.7,216,216,909
SquareL,Coma,1.8,207,207,901
SquareL,Coma,1.9,199,199,894
SquareL,Coma,2.0,192,192,889
SquareC,Coma,0.0,451,452,1025
SquareC,Coma,0.1,450,451,1024
SquareC,Coma,0.2,444,445,1023
SquareC,Coma,0.3,435,436,1020
SquareC,Coma,0.4,424,425,1017
SquareC,Coma,0.5,409,410,1013
SquareC,Coma,0.6,393,394,1008
SquareC,Coma,0.7,375,375,1002
SquareC,Coma,0.8,356,357,994
SquareC,Coma,0.9,337,337,986
SquareC,Coma,1.0,318,318,977
SquareC,Coma,1.1,300,300,967
SquareC,Coma,1.2,282,282,956
SquareC,Coma,1.3,266,266,945
SquareC,Coma,1.4,251,251,934
SquareC,Coma,1.5,238,238,924
SquareC,Coma,1.6,226,226,914
SquareC,Coma,1.7,216,216,905
SquareC,Coma,1.8,207,207,898
SquareC,Coma,1.9,199,199,891
SquareC,Coma,2.0,192,192,885
Hexagonal,Coma,0.0,497,499,1047
Hexagonal,Coma,0.1,495,497,1046
Hexagonal,Coma,0.2,489,491,1045
Hexagonal,Coma,0.3,479,481,1043
Hexagonal,Coma,0.4,466,468,1040
Hexagonal,Coma,0.5,450,452,1036
Hexagonal,Coma,0.6,432,434,1031
Hexagonal,Coma,0.7,413,414,1025
Hexagonal,Coma,0.8,392,393,1019
Hexagonal,Coma,0.9,371,372,1011
Hexagonal,Coma,1.0,350,351,1003
Hexagonal,Coma,1.1,330,331,994
Hexagonal,Coma,1.2,311,311,984
Hexagonal,Coma,1.3,293,294,975
Hexagonal,Coma,1.4,277,277,965
Hexagonal,Coma,1.5,262,263,955
Hexagonal,Coma,1.6,249,249,947
Hexagonal,Coma,1.7,238,238,939
Hexagonal,Coma,1.8,228,228,932
Hexagonal,Coma,1.9,219,219,926
Hexagonal,Coma,2.0,211,211,920
Conventional,Astigmatism,0.0,565,566,1072
Conventional,Astigmatism,0.1,562,563,1071
Conventional,Astigmatism,0.2,553,555,1069
Conventional,Astigmatism,0.3,540,541,1066
Conventional,Astigmatism,0.4,522,523,1062
Conventional,Astigmatism,0.5,501,502,1056
Conventional,Astigmatism,0.6,479,479,1050
Conventional,Astigmatism,0.7,455,456,1042
Conventional,Astigmatism,0.8,432,433,1034
Conventional,Astigmatism,0.9,410,410,1025
Conventional,Astigmatism,1.0,390,390,1016
Conventional,Astigmatism,1.1,371,371,1008
Conventional,Astigmatism,1.2,354,354,1000
Conventional,Astigmatism,1.3,338,338,992
Conventional,Astigmatism,1.4,324,324,984
Conventional,Astigmatism,1.5,312,312,978
Conventional,Astigmatism,1.6,300,300,971
Conventional,Astigmatism,1.7,290,290,965
Conventional,Astigmatism,1.8,280,280,959
Conventional,Astigmatism,1.9,271,271,953
Conventional,Astigmatism,2.0,262,262,947
SquareL,Astigmatism,0.0,450,453,1031
SquareL,Astigmatism,0.1,448,451,1030
SquareL,Astigmatism,0.2,441,444,1028
SquareL,Astigmatism,0.3,430,433,1025
SquareL,Astigmatism,0.4,416,419,1020
SquareL,Astigmatism,0.5,400,402,1013
SquareL,Astigmatism,0.6,382,384,1006
SquareL,Astigmatism,0.7,364,365,997
SquareL,Astigmatism,0.8,345,346,987
SquareL,Astigmatism,0.9,328,328,977
SquareL,Astigmatism,1.0,312,312,967
SquareL,Astigmatism,1.1,297,297,957
SquareL,Astigmatism,1.2,283,283,947
SquareL,Astigmatism,1.3,271,271,939
SquareL,Astigmatism,1.4,260,260,930
SquareL,Astigmatism,1.5,250,250,923
SquareL,Astigmatism,1.6,241,240,915
SquareL,Astigmatism,1.7,232,232,908
SquareL,Astigmatism,1.8,224,224,901
SquareL,Astigmatism,1.9,217,217,895
SquareL,Astigmatism,2.0,210,210,888
SquareC,Astigmatism,0.0,451,452,1025
SquareC,Astigmatism,0.1,449,450,1024
SquareC,Astigmatism,0.2,442,443,1022
SquareC,Astigmatism,0.3,431,432,1018
SquareC,Astigmatism,0.4,417,418,1013
SquareC,Astigmatism,0.5,401,401,1007
SquareC,Astigmatism,0.6,382,383,1000
SquareC,Astigmatism,0.7,364,364,992
SquareC,Astigmatism,0.8,345,346,982
SquareC,Astigmatism,0.9,328,328,973
SquareC,Astigmatism,1.0,311,311,963
SquareC,Astigmatism,1.1,296,296,953
SquareC,Astigmatism,1.2,282,283,943
SquareC,Astigmatism,1.3,270,270,935
SquareC,Astigmatism,1.4,259,259,926
SquareC,Astigmatism,1.5,249,249,919
SquareC,Astigmatism,1.6,240,240,911
SquareC,Astigmatism,1.7,231,231,904
SquareC,Astigmatism,1.8,223,224,898
SquareC,Astigmatism,1.9,216,216,892
SquareC,Astigmatism,2.0,209,210,886
Hexagonal,Astigmatism,0.0,497,499,1047
Hexagonal,Astigmatism,0.1,494,497,1046
Hexagonal,Astigmatism,0.2,487,489,1044
Hexagonal,Astigmatism,0.3,475,477,1041
Hexagonal,Astigmatism,0.4,459,461,1037
Hexagonal,Astigmatism,0.5,441,443,1032
Hexagonal,Astigmatism,0.6,421,423,1025
Hexagonal,Astigmatism,0.7,401,402,1018
Hexagonal,Astigmatism,0.8,381,381,1010
Hexagonal,Astigmatism,0.9,361,362,1002
Hexagonal,Astigmatism,1.0,343,343,994
Hexagonal,Astigmatism,1.1,326,327,985
Hexagonal,Astigmatism,1.2,312,312,977
Hexagonal,Astigmatism,1.3,298,298,970
Hexagonal,Astigmatism,1.4,286,286,963
Hexagonal,Astigmatism,1.5,275,275,956
Hexagonal,Astigmatism,1.6,265,265,950
Hexagonal,Astigmatism,1.7,255,255,944
Hexagonal,Astigmatism,1.8,247,247,938
