Configuration,Size,Volume,Entropy
Widefield,0,203.51564381982396,793.6054920274232
Conventional,0,339.03951956180487,939.1301016504927
Square,0,271.350409354215,891.5422318790986
Hexagonal,0,298.1289222075578,910.3395822421842
Conventional,1,246.1113138536439,911.5827621564151
Conventional,3,288.1228437493448,919.7669212896772
Conventional,5,323.8723606271114,930.6815555625418
Conventional,7,319.4406658379908,928.2247588112306
Conventional,9,312.5036670603782,924.7315276587332
Conventional,11,303.7967657956589,917.3445923773345
Conventional,13,303.076932943988,918.7161349464159
Conventional,15,319.4406658379908,928.2247588112306
Conventional,17,302.21969019112123,919.2152761073459
Conventional,19,292.631888145494,911.4547578629921
Conventional,21,304.8749365070403,921.0544043356041
Conventional,23,319.44066583798923,928.2247588112297
Conventional,25,303.14752990499517,920.0548957808619
Conventional,27,292.3771155935214,913.1440284840414
Conventional,29,283.3895044707385,911.9607693866328
Square,1,218.40098778083413,841.1313259316497
Square,3,246.2362757273928,870.0528071432409
Square,5,263.9031099419578,883.0632846006079
Square,7,259.90103959066425,879.1496495272191
Square,9,253.0754978701468,873.8155069542842
Square,11,247.20953271447019,867.0805412871266
Square,13,245.19688021220472,866.3063794081575
Square,15,259.90103959066425,879.1496495272195
Square,17,244.5793431212475,867.1554185948588
Square,19,239.7758794203526,862.1858031648836
Square,21,247.5715394864979,868.8682695998045
Square,23,259.90103959066533,879.14964952722
Square,25,249.33783582018356,869.9380706581488
Square,27,244.62759708150594,865.6848664679723
Square,29,227.0267602908056,857.2428792759986
Hexagonal,1,243.44161300869666,870.9439198534344
Hexagonal,3,265.22474442796215,887.5296835038121
Hexagonal,5,281.0055596661113,900.4324519550277
Hexagonal,7,277.2462973315462,897.2075835128836
Hexagonal,9,270.1030353671687,891.8811702247177
Hexagonal,11,264.30695381663554,886.225244358048
Hexagonal,13,262.1026573496602,885.290789594098
Hexagonal,15,277.2462973315462,897.2075835128836
Hexagonal,17,261.4113944853222,886.3636567736675
Hexagonal,19,256.51032677730694,882.4417189268269
Hexagonal,21,264.9582176007863,888.0043934090698
Hexagonal,23,277.24629733154705,897.2075835128844
Hexagonal,25,266.6010598681661,889.0714124542867
Hexagonal,27,262.4721237817693,885.982221305429
Hexagonal,29,242.79410524552216,877.6716928339258
