IncidentAngle,Configuration,Volume,Volume_a,Total,Total_a,Entropy,Waterline
0,0,427,427,0,0,10,0
9.0,square,541,569,0,0,10,6
9.0,square_cp,586,627,0,0,10,11
9.0,hexagonal,585,627,0,0,10,9
9.0,state_of_art,648,711,0,0,10,15
18.0,square,556,569,0,0,11,10
18.0,square_cp,596,613,0,0,11,16
18.0,hexagonal,607,627,0,0,11,15
18.0,state_of_art,681,711,0,0,11,23
27.0,square,561,569,0,0,11,11
27.0,square_cp,585,595,0,0,11,17
27.0,hexagonal,614,627,0,0,11,17
27.0,state_of_art,692,711,0,0,11,39
36.0,square,563,569,0,0,11,20
36.0,square_cp,569,576,0,0,11,20
36.0,hexagonal,617,627,0,0,11,23
36.0,state_of_art,697,711,0,0,11,42
45.0,square,564,569,0,0,11,25
45.0,square_cp,556,560,0,0,11,20
45.0,hexagonal,619,627,0,0,11,36
45.0,state_of_art,700,711,0,0,11,66
54.0,square,564,569,0,0,11,32
54.0,square_cp,547,550,0,0,11,29
54.0,hexagonal,621,627,0,0,11,52
54.0,state_of_art,702,711,0,0,11,69
63.0,square,564,569,0,0,11,42
63.0,square_cp,542,545,0,0,11,32
63.0,hexagonal,620,627,0,0,11,62
63.0,state_of_art,701,711,0,0,12,79
72.0,square,563,569,0,0,11,42
72.0,square_cp,540,542,0,0,11,37
72.0,hexagonal,619,627,0,0,11,55
72.0,state_of_art,700,711,0,0,12,115
