IncidentAngle,Mr,Volume,Volume_a,Entropy,RadialEntropy
0,0,170,170,764.444,348.965
3.0,1,171,283,766.589,353.075
3.0,2,171,283,766.852,353.038
3.0,3,170,283,767.039,353.248
3.0,4,170,283,767.034,353.245
3.0,5,170,283,767.039,353.248
6.0,1,227,283,770.933,362.297
6.0,2,227,283,772.018,362.265
6.0,3,223,283,772.518,362.557
6.0,4,223,283,772.461,362.49
6.0,5,223,283,772.552,362.555
9.0,1,277,283,777.601,373.248
9.0,2,277,283,779.433,373.221
9.0,3,272,283,779.873,373.418
9.0,4,271,283,779.789,373.303
9.0,5,272,283,780.005,373.421
12.0,1,304,283,785.786,386.508
12.0,2,304,283,788.448,386.499
12.0,3,297,283,788.757,385.39
12.0,4,296,283,788.842,385.257
12.0,5,296,283,788.976,385.341
15.0,1,299,283,792.621,394.672
15.0,2,299,283,796.02,394.657
15.0,3,300,283,796.91,394.063
15.0,4,299,283,797.142,393.972
15.0,5,301,283,797.379,394.093
18.0,1,305,283,800.648,400.762
18.0,2,305,283,804.577,400.75
18.0,3,305,283,805.532,400.262
18.0,4,305,283,805.792,400.283
18.0,5,305,283,805.891,400.292
21.0,1,310,283,808.129,405.122
21.0,2,310,283,812.617,405.114
21.0,3,308,283,813.432,404.513
21.0,4,309,283,813.749,404.635
21.0,5,308,283,814.008,404.532
24.0,1,304,283,814.3,407.026
24.0,2,304,283,819.462,407.017
24.0,3,307,283,820.807,407.128
24.0,4,307,283,821.162,407.108
24.0,5,308,283,821.333,407.247
27.0,1,305,283,820.294,409.239
27.0,2,305,283,826.188,409.233
27.0,3,308,283,827.652,409.283
27.0,4,307,283,828.123,409.268
27.0,5,308,283,828.324,409.321
30.0,1,307,283,825.547,410.871
30.0,2,307,283,832.24,410.867
30.0,3,308,283,833.893,410.762
30.0,4,307,283,834.431,410.73
30.0,5,307,283,835.021,410.758
33.0,1,305,283,830.991,411.69
33.0,2,305,283,838.516,411.687
33.0,3,305,283,840.351,411.652
33.0,4,305,283,840.919,411.585
33.0,5,305,283,841.572,411.669
36.0,1,303,283,835.835,412.316
36.0,2,303,283,844.193,412.314
36.0,3,303,283,846.244,412.188
36.0,4,302,283,847.182,412.199
36.0,5,303,283,847.755,412.22
39.0,1,299,283,840.404,412.572
39.0,2,299,283,849.67,412.571
39.0,3,299,283,852.234,412.544
39.0,4,299,283,853.228,412.536
39.0,5,299,283,853.829,412.556
42.0,1,297,283,844.861,412.918
42.0,2,297,283,855.079,412.918
42.0,3,296,283,857.947,412.84
42.0,4,297,283,859.054,412.814
42.0,5,296,283,859.878,412.82
45.0,1,294,283,849.208,413.19
45.0,2,294,283,860.361,413.189
45.0,3,293,283,863.391,413.086
45.0,4,293,283,864.803,413.089
45.0,5,293,283,865.904,413.078
48.0,1,290,283,853.071,413.336
48.0,2,290,283,865.172,413.336
48.0,3,290,283,868.895,413.379
48.0,4,290,283,870.627,413.38
48.0,5,290,283,871.593,413.375
51.0,1,288,283,857.323,413.783
51.0,2,288,283,870.32,413.782
51.0,3,288,283,874.499,413.839
51.0,4,288,283,876.329,413.834
51.0,5,288,283,877.154,413.805
54.0,1,286,283,861.582,414.526
54.0,2,286,283,875.422,414.525
54.0,3,286,283,880.167,414.556
54.0,4,286,283,882.076,414.575
54.0,5,286,283,883.147,414.546
57.0,1,284,283,865.744,415.369
57.0,2,284,283,880.368,415.368
57.0,3,284,283,885.457,415.387
57.0,4,284,283,887.611,415.464
57.0,5,284,283,888.82,415.42
60.0,1,283,283,869.579,416.222
60.0,2,283,283,884.96,416.221
60.0,3,283,283,890.55,416.341
60.0,4,283,283,892.734,416.424
60.0,5,283,283,894.384,416.401
63.0,1,282,283,873.818,417.396
63.0,2,282,283,889.959,417.396
63.0,3,282,283,895.961,417.563
63.0,4,282,283,898.311,417.648
63.0,5,282,283,899.958,417.591
66.0,1,282,283,877.859,418.703
66.0,2,282,283,894.725,418.703
66.0,3,282,283,901.046,418.869
66.0,4,282,283,903.745,418.962
66.0,5,282,283,905.262,418.877
69.0,1,283,283,881.591,420.052
69.0,2,283,283,899.111,420.052
69.0,3,283,283,905.686,420.207
69.0,4,283,283,908.636,420.273
69.0,5,283,283,910.273,420.205
72.0,1,283,283,885.008,421.269
72.0,2,283,283,903.1,421.269
72.0,3,283,283,909.892,421.458
72.0,4,283,283,913.006,421.474
72.0,5,283,283,914.812,421.45
