Configuration,Size,Volume,Entropy
Widefield,0,203.51564381982396,793.6054920274232
Conventional,0,305.29214103756254,901.3459266259265
Square,0,254.46147986934653,862.5712940185686
Hexagonal,0,304.09417139786234,895.9992884965347
Conventional,1,159.93244302318408,838.229831194333
Conventional,3,224.73114497633622,867.8484560662765
Conventional,5,289.8895976524041,896.2609784504814
Conventional,7,301.1307518494549,896.9249739820955
Conventional,9,291.1952772230636,889.7484914339673
Conventional,11,281.7385805270532,879.6708676164349
Conventional,13,276.9584153610176,874.1643478971733
Conventional,15,274.5140089855922,871.9529728046625
Conventional,17,272.2161610936183,870.247237703342
Conventional,19,260.6243806615655,859.1179658218491
Conventional,21,266.3873768680929,864.7046252027433
Conventional,23,258.7767014193326,860.8263232331511
Conventional,25,263.54177660598344,861.4646789709029
Conventional,27,264.79643495396783,864.3046908597407
Conventional,29,244.21720792846588,849.0145888235437
Square,1,176.03957709800596,814.6895626961475
Square,3,212.82893430690433,832.5122503171252
Square,5,247.1478357857925,856.9018794596284
Square,7,251.28229507630687,857.8838700212902
Square,9,244.6464081701241,851.5624249797689
Square,11,238.43716733604512,842.7350813287843
Square,13,236.06230438399436,839.4666877585349
Square,15,251.28229507630692,857.8838700212902
Square,17,231.2896637328618,836.7994797460168
Square,19,224.18136544496747,827.013967771664
Square,21,234.7752933524002,841.2230330456591
Square,23,251.28229507630462,857.883870021289
Square,25,236.87352854348234,842.8729487664167
Square,27,231.30982129249676,838.3311448350659
Square,29,203.88811502090547,812.2319432529189
Hexagonal,1,178.80350799223743,838.7861837354656
Hexagonal,3,222.6842716671101,856.9256815957361
Hexagonal,5,268.73992585100046,885.9957928288525
Hexagonal,7,285.32465286231104,888.4535367406354
Hexagonal,9,276.49957112505115,875.5282016843227
Hexagonal,11,261.86515961544285,859.5711291488246
Hexagonal,13,247.41665514534793,846.2964009240235
Hexagonal,15,235.07978978164374,837.0269205032873
Hexagonal,17,224.67394050742215,828.525295699888
Hexagonal,19,215.44784770852294,819.656929445691
Hexagonal,21,208.32387732748143,811.9038882038438
Hexagonal,23,204.7491620016494,807.5657398083262
Hexagonal,25,203.21370149916999,806.8171860160435
Hexagonal,27,202.07495618893248,808.3273838160007
Hexagonal,29,196.28219199486435,802.3447081841991
