Configuration,Size,Volume,Entropy
Widefield,0,169.37519661489662,742.8409095405185
Conventional,0,253.96424829057042,850.434002829621
Square,0,211.6074641401022,811.6595694072424
Hexagonal,0,252.4165402786702,844.8054315764756
Conventional,1,132.75800465857606,787.0884019826291
Conventional,3,186.7320387592609,816.790133873562
Conventional,5,241.07182990981048,845.2711677716445
Conventional,7,250.4789422913994,846.0066699384464
Conventional,9,242.1828534158323,838.94635130255
Conventional,11,234.29848410352247,828.9478235902866
Conventional,13,229.95220857898258,822.8886292808415
Conventional,15,227.8347400763492,820.7052468417373
Conventional,17,227.4174789384659,821.7909845875578
Conventional,19,216.13132953479658,807.699729216784
Conventional,21,221.6114982610913,814.3001138397741
Conventional,23,225.07024973038278,818.3883685351733
Conventional,25,209.34169081836913,801.3664805491882
Conventional,27,220.40049307848597,813.0701330060554
Conventional,29,221.27374197949825,812.3063979076405
Square,1,145.69674638672512,763.6360578753798
Square,3,176.5467497213797,781.5249870603876
Square,5,205.38362737566248,805.8918109322361
Square,7,208.92867284449403,806.9313365031752
Square,9,203.39390234247662,800.7365132622205
Square,11,198.41480992927174,792.2765359631641
Square,13,194.6752425904987,785.8347779710426
Square,15,208.92867284449397,806.9313365031746
Square,17,193.96303655050647,789.5184672350944
Square,19,184.63315189529555,774.0123452961764
Square,21,193.50210872248053,789.1467765158309
Square,23,207.7381418092926,804.2175892420033
Square,25,174.69204728076215,765.574916824206
Square,27,191.1584880419073,784.827657503117
Square,29,196.21681983271037,787.824356958844
Hexagonal,1,148.0664980680712,787.3135747648106
Hexagonal,3,184.54034359927147,805.5370526794471
Hexagonal,5,223.04173496730596,834.6707418456127
Hexagonal,7,237.00939404107328,837.2028729338685
Hexagonal,9,229.66071880420935,824.4712889217801
Hexagonal,11,217.37639503966074,808.7384572425163
Hexagonal,13,205.29961063877167,795.5604812466065
Hexagonal,15,194.96404287386028,786.2512621641672
Hexagonal,17,186.69304487153408,778.8871515183223
Hexagonal,19,178.91145934030473,769.4242316206297
Hexagonal,21,172.06279411369482,761.7142480705193
Hexagonal,23,167.7274297961712,755.6807069307811
Hexagonal,25,166.63504040154578,753.975934512941
Hexagonal,27,169.2802015942588,757.8929384148647
Hexagonal,29,171.0689077804442,760.0969055506512
