IncidentAngle,Mr,Volume,Volume_a,Entropy,RadialEntropy
0,0,133,133,8.251,3.61
9.0,1,213,222,8.428,3.995
9.0,2,213,222,8.444,3.995
9.0,3,214,222,8.457,4.011
9.0,4,215,222,8.448,4.004
9.0,5,215,222,8.457,4.014
18.0,1,244,222,8.632,4.234
18.0,2,244,222,8.671,4.234
18.0,3,243,222,8.686,4.23
18.0,4,243,222,8.685,4.231
18.0,5,244,222,8.687,4.233
27.0,1,244,222,8.835,4.278
27.0,2,244,222,8.892,4.278
27.0,3,244,222,8.905,4.277
27.0,4,243,222,8.909,4.276
27.0,5,243,222,8.912,4.274
36.0,1,238,222,8.989,4.269
36.0,2,238,222,9.07,4.269
36.0,3,238,222,9.089,4.268
36.0,4,237,222,9.098,4.267
36.0,5,237,222,9.104,4.264
45.0,1,230,222,9.116,4.248
45.0,2,230,222,9.225,4.248
45.0,3,229,222,9.26,4.243
45.0,4,230,222,9.268,4.248
45.0,5,228,222,9.281,4.241
54.0,1,223,222,9.243,4.235
54.0,2,223,222,9.378,4.235
54.0,3,223,222,9.421,4.234
54.0,4,222,222,9.443,4.23
54.0,5,221,222,9.454,4.228
63.0,1,221,222,9.36,4.248
63.0,2,221,222,9.519,4.248
63.0,3,219,222,9.584,4.242
63.0,4,219,222,9.606,4.244
63.0,5,219,222,9.621,4.241
72.0,1,220,222,9.478,4.269
72.0,2,220,222,9.655,4.269
72.0,3,219,222,9.726,4.266
72.0,4,219,222,9.753,4.266
72.0,5,219,222,9.767,4.267
